00GE               20131205                                                                                   
0601GEB0N       20140101001890005000005000 0000000000002102   
0601GEB0N       20140101001895005000005000 0000000000002106   
0601GEB0N       20140101001900005000005000 0000000000002110   
0601GEB0N       20140101001905005000005000 0000000000002113   
0601GEB0N       20140101001910005000005000 0000000000002118   
0601GEB0N       20140101001915005000005000 0000000000002121   
0601GEB0N       20140101001920005000005000 0000000000002125   
0601GEB0N       20140101001925005000005000 0000000000002129   
0601GEB0N       20140101001930005000005000 0000000000002132   
0601GEB0N       20140101001935005000005000 0000000000002136   
0601GEB0N       20140101001940005000005000 0000000000002140   
0601GEB0N       20140101001945005000005000 0000000000002143   
0601GEB0N       20140101001950005000005000 0000000000002147   
0601GEB0N       20140101001955005000005000 0000000000002151   
0601GEB0N       20140101001960005000005000 0000000000002154   
0601GEB0N       20140101001965005000010000 0000000000002160   
0601GEB0N       20140101001975005000010000 0000000000002167   
0601GEB0N       20140101001985005000010000 0000000000002173   
0601GEB0N       20140101001995005000010000 0000000000002181   
0601GEB0N       20140101002005005000010000 0000000000002188   
0601GEB0N       20140101002015005000010000 0000000000002194   
0601GEB0N       20140101002025005000010000 0000000000002201   
0601GEB0N       20140101002035005000010000 0000000000002208   
0601GEB0N       20140101002045005000010000 0000000000002214   
0601GEB0N       20140101002055005000010000 0000000000002221   
0601GEB0N       20140101002065005000010000 0000000000002227   
0601GEB0N       20140101002075005000010000 0000000000002234   
0601GEB0N       20140101002085005000010000 0000000000002240   
0601GEB0N       20140101002095005000010000 0000000000002247   
0601GEB0N       20140101002105005000010000 0000000000002252   
0601GEB0N       20140101002115005000010000 0000000000002259   
0601GEB0N       20140101002125005000010000 0000000000002265   
0601GEB0N       20140101002135005000010000 0000000000002271   
0601GEB0N       20140101002145005000010000 0000000000002277   
0601GEB0N       20140101002155005000010000 0000000000002283   
0601GEB0N       20140101002165005000010000 0000000000002289   
0601GEB0N       20140101002175005000010000 0000000000002295   
0601GEB0N       20140101002185005000010000 0000000000002300   
0601GEB0N       20140101002195005000010000 0000000000002306   
0601GEB0N       20140101002205005000010000 0000000000002312   
0601GEB0N       20140101002215005000010000 0000000000002317   
0601GEB0N       20140101002225005000010000 0000000000002323   
0601GEB0N       20140101002235005000010000 0000000000002329   
0601GEB0N       20140101002245005000010000 0000000000002334   
0601GEB0N       20140101002255005000010000 0000000000002339   
0601GEB0N       20140101002265005000010000 0000000000002345   
0601GEB0N       20140101002275005000010000 0000000000002350   
0601GEB0N       20140101002285005000010000 0000000000002355   
0601GEB0N       20140101002295005000010000 0000000000002361   
0601GEB0N       20140101002305005000010000 0000000000002366   
0601GEB0N       20140101002315005000010000 0000000000002371   
0601GEB0N       20140101002325005000010000 0000000000002376   
0601GEB0N       20140101002335005000010000 0000000000002381   
0601GEB0N       20140101002345005000010000 0000000000002386   
0601GEB0N       20140101002355005000010000 0000000000002391   
0601GEB0N       20140101002365005000010000 0000000000002396   
0601GEB0N       20140101002375005000010000 0000000000002401   
0601GEB0N       20140101002385005000010000 0000000000002406   
0601GEB0N       20140101002395005000010000 0000000000002411   
0601GEB0N       20140101002405005000010000 0000000000002416   
0601GEB0N       20140101002415005000010000 0000000000002421   
0601GEB0N       20140101002425005000010000 0000000000002426   
0601GEB0N       20140101002435005000010000 0000000000002431   
0601GEB0N       20140101002445005000010000 0000000000002436   
0601GEB0N       20140101002455005000010000 0000000000002441   
0601GEB0N       20140101002465005000010000 0000000000002446   
0601GEB0N       20140101002475005000010000 0000000000002450   
0601GEB0N       20140101002485005000010000 0000000000002455   
0601GEB0N       20140101002495005000010000 0000000000002460   
0601GEB0N       20140101002505005000010000 0000000000002465   
0601GEB0N       20140101002515005000010000 0000000000002469   
0601GEB0N       20140101002525005000010000 0000000000002474   
0601GEB0N       20140101002535005000010000 0000000000002478   
0601GEB0N       20140101002545005000010000 0000000000002483   
0601GEB0N       20140101002555005000010000 0000000000002488   
0601GEB0N       20140101002565005000010000 0000000000002492   
0601GEB0N       20140101002575005000010000 0000000000002497   
0601GEB0N       20140101002585005000010000 0000000000002501   
0601GEB0N       20140101002595005000010000 0000000000002505   
0601GEB0N       20140101002605005000010000 0000000000002510   
0601GEB0N       20140101002615005000010000 0000000000002514   
0601GEB0N       20140101002625005000010000 0000000000002518   
0601GEB0N       20140101002635005000010000 0000000000002523   
0601GEB0N       20140101002645005000010000 0000000000002527   
0601GEB0N       20140101002655005000010000 0000000000002531   
0601GEB0N       20140101002665005000010000 0000000000002535   
0601GEB0N       20140101002675005000010000 0000000000002539   
0601GEB0N       20140101002685005000010000 0000000000002543   
0601GEB0N       20140101002695005000010000 0000000000002547   
0601GEB0N       20140101002705005000010000 0000000000002552   
0601GEB0N       20140101002715005000010000 0000000000002555   
0601GEB0N       20140101002725005000010000 0000000000002559   
0601GEB0N       20140101002735005000010000 0000000000002563   
0601GEB0N       20140101002745005000010000 0000000000002567   
0601GEB0N       20140101002755005000010000 0000000000002571   
0601GEB0N       20140101002765005000010000 0000000000002575   
0601GEB0N       20140101002775005000010000 0000000000002579   
0601GEB0N       20140101002785005000010000 0000000000002583   
0601GEB0N       20140101002795005000010000 0000000000002587   
0601GEB0N       20140101002805005000010000 0000000000002590   
0601GEB0N       20140101002815005000010000 0000000000002594   
0601GEB0N       20140101002825005000010000 0000000000002597   
0601GEB0N       20140101002835005000010000 0000000000002601   
0601GEB0N       20140101002845005000010000 0000000000002605   
0601GEB0N       20140101002855005000010000 0000000000002608   
0601GEB0N       20140101002865005000010000 0000000000002612   
0601GEB0N       20140101002875005000010000 0000000000002616   
0601GEB0N       20140101002885005000010000 0000000000002619   
0601GEB0N       20140101002895005000010000 0000000000002623   
0601GEB0N       20140101002905005000010000 0000000000002626   
0601GEB0N       20140101002915005000010000 0000000000002629   
0601GEB0N       20140101002925005000010000 0000000000002633   
0601GEB0N       20140101002935005000010000 0000000000002637   
0601GEB0N       20140101002945005000010000 0000000000002640   
0601GEB0N       20140101002955005000010000 0000000000002643   
0601GEB0N       20140101002965005000010000 0000000000002647   
0601GEB0N       20140101002975005000010000 0000000000002650   
0601GEB0N       20140101002985005000010000 0000000000002653   
0601GEB0N       20140101002995005000010000 0000000000002657   
0601GEB0N       20140101003005005000010000 0000000000002660   
0601GEB0N       20140101003015005000010000 0000000000002663   
0601GEB0N       20140101003025005000010000 0000000000002666   
0601GEB0N       20140101003035005000010000 0000000000002669   
0601GEB0N       20140101003045005000010000 0000000000002673   
0601GEB0N       20140101003055005000010000 0000000000002676   
0601GEB0N       20140101003065005000010000 0000000000002679   
0601GEB0N       20140101003075005000010000 0000000000002682   
0601GEB0N       20140101003085005000010000 0000000000002685   
0601GEB0N       20140101003095005000010000 0000000000002688   
0601GEB0N       20140101003105005000010000 0000000000002691   
0601GEB0N       20140101003115005000010000 0000000000002694   
0601GEB0N       20140101003125005000010000 0000000000002697   
0601GEB0N       20140101003135005000010000 0000000000002700   
0601GEB0N       20140101003145005000010000 0000000000002703   
0601GEB0N       20140101003155005000010000 0000000000002706   
0601GEB0N       20140101003165005000010000 0000000000002709   
0601GEB0N       20140101003175005000010000 0000000000002712   
0601GEB0N       20140101003185005000010000 0000000000002715   
0601GEB0N       20140101003195005000010000 0000000000002719   
0601GEB0N       20140101003205005000010000 0000000000002722   
0601GEB0N       20140101003215005000010000 0000000000002725   
0601GEB0N       20140101003225005000010000 0000000000002728   
0601GEB0N       20140101003235005000010000 0000000000002731   
0601GEB0N       20140101003245005000010000 0000000000002734   
0601GEB0N       20140101003255005000010000 0000000000002737   
0601GEB0N       20140101003265005000010000 0000000000002740   
0601GEB0N       20140101003275005000010000 0000000000002743   
0601GEB0N       20140101003285005000010000 0000000000002746   
0601GEB0N       20140101003295005000010000 0000000000002749   
0601GEB0N       20140101003305005000010000 0000000000002752   
0601GEB0N       20140101003315005000010000 0000000000002755   
0601GEB0N       20140101003325005000010000 0000000000002758   
0601GEB0N       20140101003335005000010000 0000000000002760   
0601GEB0N       20140101003345005000010000 0000000000002763   
0601GEB0N       20140101003355005000010000 0000000000002766   
0601GEB0N       20140101003365005000010000 0000000000002769   
0601GEB0N       20140101003375005000010000 0000000000002772   
0601GEB0N       20140101003385005000010000 0000000000002775   
0601GEB0N       20140101003395005000010000 0000000000002777   
0601GEB0N       20140101003405005000010000 0000000000002780   
0601GEB0N       20140101003415005000010000 0000000000002783   
0601GEB0N       20140101003425005000010000 0000000000002786   
0601GEB0N       20140101003435005000010000 0000000000002788   
0601GEB0N       20140101003445005000010000 0000000000002791   
0601GEB0N       20140101003455005000010000 0000000000002794   
0601GEB0N       20140101003465005000010000 0000000000002796   
0601GEB0N       20140101003475005000010000 0000000000002799   
0601GEB0N       20140101003485005000010000 0000000000002802   
0601GEB0N       20140101003495005000010000 0000000000002804   
0601GEB0N       20140101003505005000010000 0000000000002807   
0601GEB0N       20140101003515005000010000 0000000000002809   
0601GEB0N       20140101003525005000010000 0000000000002812   
0601GEB0N       20140101003535005000010000 0000000000002814   
0601GEB0N       20140101003545005000010000 0000000000002817   
0601GEB0N       20140101003555005000010000 0000000000002819   
0601GEB0N       20140101003565005000010000 0000000000002822   
0601GEB0N       20140101003575005000010000 0000000000002825   
0601GEB0N       20140101003585005000010000 0000000000002827   
0601GEB0N       20140101003595005000010000 0000000000002830   
0601GEB0N       20140101003605005000010000 0000000000002833   
0601GEB0N       20140101003615005000010000 0000000000002835   
0601GEB0N       20140101003625005000010000 0000000000002838   
0601GEB0N       20140101003635005000010000 0000000000002841   
0601GEB0N       20140101003645005000010000 0000000000002843   
0601GEB0N       20140101003655005000010000 0000000000002846   
0601GEB0N       20140101003665005000010000 0000000000002849   
0601GEB0N       20140101003675005000010000 0000000000002851   
0601GEB0N       20140101003685005000010000 0000000000002854   
0601GEB0N       20140101003695005000010000 0000000000002856   
0601GEB0N       20140101003705005000010000 0000000000002859   
0601GEB0N       20140101003715005000010000 0000000000002861   
0601GEB0N       20140101003725005000010000 0000000000002864   
0601GEB0N       20140101003735005000010000 0000000000002866   
0601GEB0N       20140101003745005000010000 0000000000002869   
0601GEB0N       20140101003755005000010000 0000000000002871   
0601GEB0N       20140101003765005000010000 0000000000002874   
0601GEB0N       20140101003775005000010000 0000000000002876   
0601GEB0N       20140101003785005000010000 0000000000002879   
0601GEB0N       20140101003795005000010000 0000000000002881   
0601GEB0N       20140101003805005000010000 0000000000002883   
0601GEB0N       20140101003815005000010000 0000000000002886   
0601GEB0N       20140101003825005000010000 0000000000002888   
0601GEB0N       20140101003835005000010000 0000000000002891   
0601GEB0N       20140101003845005000010000 0000000000002893   
0601GEB0N       20140101003855005000010000 0000000000002895   
0601GEB0N       20140101003865005000010000 0000000000002898   
0601GEB0N       20140101003875005000010000 0000000000002900   
0601GEB0N       20140101003885005000010000 0000000000002902   
0601GEB0N       20140101003895005000010000 0000000000002904   
0601GEB0N       20140101003905005000010000 0000000000002907   
0601GEB0N       20140101003915005000010000 0000000000002909   
0601GEB0N       20140101003925005000010000 0000000000002911   
0601GEB0N       20140101003935005000010000 0000000000002913   
0601GEB0N       20140101003945005000010000 0000000000002916   
0601GEB0N       20140101003955005000010000 0000000000002918   
0601GEB0N       20140101003965005000010000 0000000000002920   
0601GEB0N       20140101003975005000010000 0000000000002922   
0601GEB0N       20140101003985005000010000 0000000000002925   
0601GEB0N       20140101003995005000010000 0000000000002927   
0601GEB0N       20140101004005005000010000 0000000000002929   
0601GEB0N       20140101004015005000010000 0000000000002931   
0601GEB0N       20140101004025005000010000 0000000000002933   
0601GEB0N       20140101004035005000010000 0000000000002935   
0601GEB0N       20140101004045005000010000 0000000000002937   
0601GEB0N       20140101004055005000010000 0000000000002939   
0601GEB0N       20140101004065005000010000 0000000000002942   
0601GEB0N       20140101004075005000010000 0000000000002944   
0601GEB0N       20140101004085005000010000 0000000000002946   
0601GEB0N       20140101004095005000010000 0000000000002948   
0601GEB0N       20140101004105005000010000 0000000000002950   
0601GEB0N       20140101004115005000010000 0000000000002952   
0601GEB0N       20140101004125005000010000 0000000000002954   
0601GEB0N       20140101004135005000010000 0000000000002956   
0601GEB0N       20140101004145005000010000 0000000000002958   
0601GEB0N       20140101004155005000010000 0000000000002960   
0601GEB0N       20140101004165005000010000 0000000000002962   
0601GEB0N       20140101004175005000010000 0000000000002964   
0601GEB0N       20140101004185005000010000 0000000000002966   
0601GEB0N       20140101004195005000010000 0000000000002968   
0601GEB0N       20140101004205005000010000 0000000000002970   
0601GEB0N       20140101004215005000010000 0000000000002972   
0601GEB0N       20140101004225005000010000 0000000000002974   
0601GEB0N       20140101004235005000010000 0000000000002976   
0601GEB0N       20140101004245005000010000 0000000000002978   
0601GEB0N       20140101004255005000010000 0000000000002979   
0601GEB0N       20140101004265005000010000 0000000000002981   
0601GEB0N       20140101004275005000010000 0000000000002983   
0601GEB0N       20140101004285005000010000 0000000000002985   
0601GEB0N       20140101004295005000010000 0000000000002987   
0601GEB0N       20140101004305005000010000 0000000000002989   
0601GEB0N       20140101004315005000010000 0000000000002991   
0601GEB0N       20140101004325005000010000 0000000000002993   
0601GEB0N       20140101004335005000010000 0000000000002995   
0601GEB0N       20140101004345005000010000 0000000000002996   
0601GEB0N       20140101004355005000010000 0000000000002998   
0601GEB0N       20140101004365005000010000 0000000000003000   
0601GEB0N       20140101004375005000010000 0000000000003002   
0601GEB0N       20140101004385005000010000 0000000000003004   
0601GEB0N       20140101004395005000010000 0000000000003006   
0601GEB0N       20140101004405005000010000 0000000000003007   
0601GEB0N       20140101004415005000010000 0000000000003009   
0601GEB0N       20140101004425005000010000 0000000000003011   
0601GEB0N       20140101004435005000010000 0000000000003013   
0601GEB0N       20140101004445005000010000 0000000000003014   
0601GEB0N       20140101004455005000010000 0000000000003016   
0601GEB0N       20140101004465005000010000 0000000000003018   
0601GEB0N       20140101004475005000010000 0000000000003020   
0601GEB0N       20140101004485005000010000 0000000000003021   
0601GEB0N       20140101004495005000010000 0000000000003023   
0601GEB0N       20140101004505005000010000 0000000000003025   
0601GEB0N       20140101004515005000010000 0000000000003027   
0601GEB0N       20140101004525005000010000 0000000000003028   
0601GEB0N       20140101004535005000010000 0000000000003030   
0601GEB0N       20140101004545005000010000 0000000000003031   
0601GEB0N       20140101004555005000010000 0000000000003033   
0601GEB0N       20140101004565005000010000 0000000000003035   
0601GEB0N       20140101004575005000010000 0000000000003036   
0601GEB0N       20140101004585005000010000 0000000000003038   
0601GEB0N       20140101004595005000010000 0000000000003040   
0601GEB0N       20140101004605005000010000 0000000000003041   
0601GEB0N       20140101004615005000010000 0000000000003043   
0601GEB0N       20140101004625005000010000 0000000000003045   
0601GEB0N       20140101004635005000010000 0000000000003046   
0601GEB0N       20140101004645005000010000 0000000000003048   
0601GEB0N       20140101004655005000010000 0000000000003050   
0601GEB0N       20140101004665005000010000 0000000000003051   
0601GEB0N       20140101004675005000010000 0000000000003053   
0601GEB0N       20140101004685005000010000 0000000000003054   
0601GEB0N       20140101004695005000010000 0000000000003056   
0601GEB0N       20140101004705005000010000 0000000000003057   
0601GEB0N       20140101004715005000010000 0000000000003059   
0601GEB0N       20140101004725005000010000 0000000000003060   
0601GEB0N       20140101004735005000010000 0000000000003062   
0601GEB0N       20140101004745005000010000 0000000000003064   
0601GEB0N       20140101004755005000010000 0000000000003065   
0601GEB0N       20140101004765005000010000 0000000000003067   
0601GEB0N       20140101004775005000010000 0000000000003068   
0601GEB0N       20140101004785005000010000 0000000000003070   
0601GEB0N       20140101004795005000010000 0000000000003071   
0601GEB0N       20140101004805005000010000 0000000000003073   
0601GEB0N       20140101004815005000010000 0000000000003074   
0601GEB0N       20140101004825005000010000 0000000000003076   
0601GEB0N       20140101004835005000020000 0000000000003078   
0601GEB0N       20140101004855005000020000 0000000000003081   
0601GEB0N       20140101004875005000020000 0000000000003084   
0601GEB0N       20140101004895005000020000 0000000000003087   
0601GEB0N       20140101004915005000020000 0000000000003090   
0601GEB0N       20140101004935005000020000 0000000000003092   
0601GEB0N       20140101004955005000020000 0000000000003095   
0601GEB0N       20140101004975005000020000 0000000000003098   
0601GEB0N       20140101004995005000020000 0000000000003101   
0601GEB0N       20140101005015005000020000 0000000000003104   
0601GEB0N       20140101005035005000020000 0000000000003106   
0601GEB0N       20140101005055005000020000 0000000000003109   
0601GEB0N       20140101005075005000020000 0000000000003112   
0601GEB0N       20140101005095005000020000 0000000000003115   
0601GEB0N       20140101005115005000020000 0000000000003118   
0601GEB0N       20140101005135005000020000 0000000000003121   
0601GEB0N       20140101005155005000020000 0000000000003124   
0601GEB0N       20140101005175005000020000 0000000000003127   
0601GEB0N       20140101005195005000020000 0000000000003130   
0601GEB0N       20140101005215005000020000 0000000000003133   
0601GEB0N       20140101005235005000020000 0000000000003135   
0601GEB0N       20140101005255005000020000 0000000000003138   
0601GEB0N       20140101005275005000020000 0000000000003141   
0601GEB0N       20140101005295005000020000 0000000000003144   
0601GEB0N       20140101005315005000020000 0000000000003146   
0601GEB0N       20140101005335005000020000 0000000000003149   
0601GEB0N       20140101005355005000020000 0000000000003152   
0601GEB0N       20140101005375005000020000 0000000000003155   
0601GEB0N       20140101005395005000020000 0000000000003158   
0601GEB0N       20140101005415005000020000 0000000000003161   
0601GEB0N       20140101005435005000020000 0000000000003164   
0601GEB0N       20140101005455005000020000 0000000000003167   
0601GEB0N       20140101005475005000020000 0000000000003169   
0601GEB0N       20140101005495005000020000 0000000000003172   
0601GEB0N       20140101005515005000020000 0000000000003175   
0601GEB0N       20140101005535005000020000 0000000000003178   
0601GEB0N       20140101005555005000020000 0000000000003181   
0601GEB0N       20140101005575005000020000 0000000000003183   
0601GEB0N       20140101005595005000020000 0000000000003186   
0601GEB0N       20140101005615005000020000 0000000000003189   
0601GEB0N       20140101005635005000020000 0000000000003191   
0601GEB0N       20140101005655005000020000 0000000000003194   
0601GEB0N       20140101005675005000020000 0000000000003197   
0601GEB0N       20140101005695005000020000 0000000000003199   
0601GEB0N       20140101005715005000020000 0000000000003202   
0601GEB0N       20140101005735005000020000 0000000000003205   
0601GEB0N       20140101005755005000020000 0000000000003207   
0601GEB0N       20140101005775005000020000 0000000000003210   
0601GEB0N       20140101005795005000020000 0000000000003212   
0601GEB0N       20140101005815005000020000 0000000000003215   
0601GEB0N       20140101005835005000020000 0000000000003218   
0601GEB0N       20140101005855005000020000 0000000000003220   
0601GEB0N       20140101005875005000020000 0000000000003222   
0601GEB0N       20140101005895005000020000 0000000000003225   
0601GEB0N       20140101005915005000020000 0000000000003227   
0601GEB0N       20140101005935005000020000 0000000000003230   
0601GEB0N       20140101005955005000020000 0000000000003232   
0601GEB0N       20140101005975005000020000 0000000000003235   
0601GEB0N       20140101005995005000020000 0000000000003237   
0601GEB0N       20140101006015005000020000 0000000000003239   
0601GEB0N       20140101006035005000020000 0000000000003242   
0601GEB0N       20140101006055005000020000 0000000000003244   
0601GEB0N       20140101006075005000020000 0000000000003246   
0601GEB0N       20140101006095005000020000 0000000000003249   
0601GEB0N       20140101006115005000020000 0000000000003251   
0601GEB0N       20140101006135005000020000 0000000000003253   
0601GEB0N       20140101006155005000020000 0000000000003256   
0601GEB0N       20140101006175005000020000 0000000000003258   
0601GEB0N       20140101006195005000020000 0000000000003260   
0601GEB0N       20140101006215005000020000 0000000000003262   
0601GEB0N       20140101006235005000020000 0000000000003264   
0601GEB0N       20140101006255005000020000 0000000000003267   
0601GEB0N       20140101006275005000020000 0000000000003269   
0601GEB0N       20140101006295005000020000 0000000000003271   
0601GEB0N       20140101006315005000020000 0000000000003273   
0601GEB0N       20140101006335005000020000 0000000000003275   
0601GEB0N       20140101006355005000020000 0000000000003277   
0601GEB0N       20140101006375005000020000 0000000000003279   
0601GEB0N       20140101006395005000020000 0000000000003281   
0601GEB0N       20140101006415005000020000 0000000000003284   
0601GEB0N       20140101006435005000020000 0000000000003286   
0601GEB0N       20140101006455005000020000 0000000000003288   
0601GEB0N       20140101006475005000020000 0000000000003290   
0601GEB0N       20140101006495005000020000 0000000000003292   
0601GEB0N       20140101006515005000020000 0000000000003294   
0601GEB0N       20140101006535005000020000 0000000000003296   
0601GEB0N       20140101006555005000020000 0000000000003298   
0601GEB0N       20140101006575005000020000 0000000000003300   
0601GEB0N       20140101006595005000020000 0000000000003302   
0601GEB0N       20140101006615005000020000 0000000000003304   
0601GEB0N       20140101006635005000020000 0000000000003306   
0601GEB0N       20140101006655005000020000 0000000000003307   
0601GEB0N       20140101006675005000020000 0000000000003309   
0601GEB0N       20140101006695005000020000 0000000000003311   
0601GEB0N       20140101006715005000020000 0000000000003313   
0601GEB0N       20140101006735005000020000 0000000000003315   
0601GEB0N       20140101006755005000020000 0000000000003317   
0601GEB0N       20140101006775005000020000 0000000000003319   
0601GEB0N       20140101006795005000020000 0000000000003321   
0601GEB0N       20140101006815005000020000 0000000000003323   
0601GEB0N       20140101006835005000020000 0000000000003324   
0601GEB0N       20140101006855005000020000 0000000000003326   
0601GEB0N       20140101006875005000020000 0000000000003328   
0601GEB0N       20140101006895005000020000 0000000000003330   
0601GEB0N       20140101006915005000020000 0000000000003332   
0601GEB0N       20140101006935005000020000 0000000000003333   
0601GEB0N       20140101006955005000020000 0000000000003335   
0601GEB0N       20140101006975005000020000 0000000000003337   
0601GEB0N       20140101006995005000020000 0000000000003339   
0601GEB0N       20140101007015005000020000 0000000000003341   
0601GEB0N       20140101007035005000020000 0000000000003343   
0601GEB0N       20140101007055005000020000 0000000000003345   
0601GEB0N       20140101007075005000020000 0000000000003347   
0601GEB0N       20140101007095005000020000 0000000000003349   
0601GEB0N       20140101007115005000020000 0000000000003352   
0601GEB0N       20140101007135005000020000 0000000000003354   
0601GEB0N       20140101007155005000020000 0000000000003356   
0601GEB0N       20140101007175005000020000 0000000000003358   
0601GEB0N       20140101007195005000020000 0000000000003360   
0601GEB0N       20140101007215005000020000 0000000000003362   
0601GEB0N       20140101007235005000020000 0000000000003364   
0601GEB0N       20140101007255005000020000 0000000000003366   
0601GEB0N       20140101007275005000020000 0000000000003368   
0601GEB0N       20140101007295005000020000 0000000000003370   
0601GEB0N       20140101007315005000020000 0000000000003373   
0601GEB0N       20140101007335005000020000 0000000000003375   
0601GEB0N       20140101007355005000020000 0000000000003377   
0601GEB0N       20140101007375005000020000 0000000000003379   
0601GEB0N       20140101007395005000020000 0000000000003381   
0601GEB0N       20140101007415005000020000 0000000000003383   
0601GEB0N       20140101007435005000020000 0000000000003385   
0601GEB0N       20140101007455005000020000 0000000000003387   
0601GEB0N       20140101007475005000020000 0000000000003389   
0601GEB0N       20140101007495005000020000 0000000000003391   
0601GEB0N       20140101007515005000020000 0000000000003393   
0601GEB0N       20140101007535005000020000 0000000000003395   
0601GEB0N       20140101007555005000020000 0000000000003397   
0601GEB0N       20140101007575005000020000 0000000000003400   
0601GEB0N       20140101007595005000020000 0000000000003402   
0601GEB0N       20140101007615005000020000 0000000000003404   
0601GEB0N       20140101007635005000020000 0000000000003406   
0601GEB0N       20140101007655005000020000 0000000000003408   
0601GEB0N       20140101007675005000020000 0000000000003410   
0601GEB0N       20140101007695005000020000 0000000000003412   
0601GEB0N       20140101007715005000020000 0000000000003414   
0601GEB0N       20140101007735005000020000 0000000000003416   
0601GEB0N       20140101007755005000020000 0000000000003418   
0601GEB0N       20140101007775005000020000 0000000000003420   
0601GEB0N       20140101007795005000020000 0000000000003422   
0601GEB0N       20140101007815005000020000 0000000000003424   
0601GEB0N       20140101007835005000020000 0000000000003426   
0601GEB0N       20140101007855005000020000 0000000000003428   
0601GEB0N       20140101007875005000020000 0000000000003430   
0601GEB0N       20140101007895005000020000 0000000000003432   
0601GEB0N       20140101007915005000020000 0000000000003434   
0601GEB0N       20140101007935005000020000 0000000000003436   
0601GEB0N       20140101007955005000020000 0000000000003438   
0601GEB0N       20140101007975005000020000 0000000000003440   
0601GEB0N       20140101007995005000020000 0000000000003442   
0601GEB0N       20140101008015005000020000 0000000000003444   
0601GEB0N       20140101008035005000020000 0000000000003446   
0601GEB0N       20140101008055005000020000 0000000000003447   
0601GEB0N       20140101008075005000020000 0000000000003449   
0601GEB0N       20140101008095005000020000 0000000000003451   
0601GEB0N       20140101008115005000020000 0000000000003453   
0601GEB0N       20140101008135005000020000 0000000000003455   
0601GEB0N       20140101008155005000020000 0000000000003457   
0601GEB0N       20140101008175005000020000 0000000000003459   
0601GEB0N       20140101008195005000020000 0000000000003460   
0601GEB0N       20140101008215005000020000 0000000000003462   
0601GEB0N       20140101008235005000020000 0000000000003464   
0601GEB0N       20140101008255005000020000 0000000000003466   
0601GEB0N       20140101008275005000020000 0000000000003468   
0601GEB0N       20140101008295005000020000 0000000000003469   
0601GEB0N       20140101008315005999999999 0000000000003471   
0601GEB1N       20140101000000000000565000 0100000000000000   
0601GEB1N       20140101000565005000005000 0100000000000009   
0601GEB1N       20140101000570005000005000 0100000000000019   
0601GEB1N       20140101000575005000005000 0100000000000030   
0601GEB1N       20140101000580005000005000 0100000000000040   
0601GEB1N       20140101000585005000005000 0100000000000050   
0601GEB1N       20140101000590005000005000 0100000000000060   
0601GEB1N       20140101000595005000005000 0100000000000069   
0601GEB1N       20140101000600005000005000 0100000000000079   
0601GEB1N       20140101000605005000005000 0100000000000088   
0601GEB1N       20140101000610005000005000 0100000000000098   
0601GEB1N       20140101000615005000005000 0100000000000107   
0601GEB1N       20140101000620005000005000 0100000000000115   
0601GEB1N       20140101000625005000005000 0100000000000124   
0601GEB1N       20140101000630005000005000 0100000000000133   
0601GEB1N       20140101000635005000005000 0100000000000143   
0601GEB1N       20140101000640005000005000 0100000000000152   
0601GEB1N       20140101000645005000005000 0100000000000161   
0601GEB1N       20140101000650005000005000 0100000000000171   
0601GEB1N       20140101000655005000005000 0100000000000180   
0601GEB1N       20140101000660005000005000 0100000000000189   
0601GEB1N       20140101000665005000005000 0100000000000198   
0601GEB1N       20140101000670005000005000 0100000000000206   
0601GEB1N       20140101000675005000005000 0100000000000216   
0601GEB1N       20140101000680005000005000 0100000000000225   
0601GEB1N       20140101000685005000005000 0100000000000235   
0601GEB1N       20140101000690005000005000 0100000000000245   
0601GEB1N       20140101000695005000005000 0100000000000255   
0601GEB1N       20140101000700005000005000 0100000000000265   
0601GEB1N       20140101000705005000005000 0100000000000275   
0601GEB1N       20140101000710005000005000 0100000000000285   
0601GEB1N       20140101000715005000005000 0100000000000296   
0601GEB1N       20140101000720005000005000 0100000000000306   
0601GEB1N       20140101000725005000005000 0100000000000317   
0601GEB1N       20140101000730005000005000 0100000000000327   
0601GEB1N       20140101000735005000005000 0100000000000338   
0601GEB1N       20140101000740005000005000 0100000000000348   
0601GEB1N       20140101000745005000005000 0100000000000358   
0601GEB1N       20140101000750005000005000 0100000000000368   
0601GEB1N       20140101000755005000005000 0100000000000378   
0601GEB1N       20140101000760005000005000 0100000000000390   
0601GEB1N       20140101000765005000005000 0100000000000400   
0601GEB1N       20140101000770005000005000 0100000000000411   
0601GEB1N       20140101000775005000005000 0100000000000422   
0601GEB1N       20140101000780005000005000 0100000000000433   
0601GEB1N       20140101000785005000005000 0100000000000443   
0601GEB1N       20140101000790005000005000 0100000000000453   
0601GEB1N       20140101000795005000005000 0100000000000464   
0601GEB1N       20140101000800005000005000 0100000000000474   
0601GEB1N       20140101000805005000005000 0100000000000484   
0601GEB1N       20140101000810005000005000 0100000000000493   
0601GEB1N       20140101000815005000005000 0100000000000503   
0601GEB1N       20140101000820005000005000 0100000000000513   
0601GEB1N       20140101000825005000005000 0100000000000522   
0601GEB1N       20140101000830005000005000 0100000000000531   
0601GEB1N       20140101000835005000005000 0100000000000541   
0601GEB1N       20140101000840005000005000 0100000000000550   
0601GEB1N       20140101000845005000005000 0100000000000559   
0601GEB1N       20140101000850005000005000 0100000000000568   
0601GEB1N       20140101000855005000005000 0100000000000576   
