00GE               20131205                                                                                   
0601GEA0N       20140101000830005000005000 0000000000001629   
0601GEA0N       20140101000835005000005000 0000000000001637   
0601GEA0N       20140101000840005000005000 0000000000001644   
0601GEA0N       20140101000845005000005000 0000000000001652   
0601GEA0N       20140101000850005000005000 0000000000001659   
0601GEA0N       20140101000855005000005000 0000000000001666   
0601GEA0N       20140101000860005000005000 0000000000001674   
0601GEA0N       20140101000865005000005000 0000000000001681   
0601GEA0N       20140101000870005000005000 0000000000001688   
0601GEA0N       20140101000875005000005000 0000000000001695   
0601GEA0N       20140101000880005000005000 0000000000001702   
0601GEA0N       20140101000885005000005000 0000000000001708   
0601GEA0N       20140101000890005000005000 0000000000001715   
0601GEA0N       20140101000895005000005000 0000000000001722   
0601GEA0N       20140101000900005000005000 0000000000001728   
0601GEA0N       20140101000905005000005000 0000000000001735   
0601GEA0N       20140101000910005000005000 0000000000001741   
0601GEA0N       20140101000915005000005000 0000000000001747   
0601GEA0N       20140101000920005000005000 0000000000001754   
0601GEA0N       20140101000925005000005000 0000000000001760   
0601GEA0N       20140101000930005000005000 0000000000001766   
0601GEA0N       20140101000935005000005000 0000000000001772   
0601GEA0N       20140101000940005000005000 0000000000001779   
0601GEA0N       20140101000945005000005000 0000000000001785   
0601GEA0N       20140101000950005000005000 0000000000001791   
0601GEA0N       20140101000955005000005000 0000000000001796   
0601GEA0N       20140101000960005000005000 0000000000001802   
0601GEA0N       20140101000965005000005000 0000000000001808   
0601GEA0N       20140101000970005000005000 0000000000001813   
0601GEA0N       20140101000975005000005000 0000000000001819   
0601GEA0N       20140101000980005000005000 0000000000001825   
0601GEA0N       20140101000985005000005000 0000000000001830   
0601GEA0N       20140101000990005000005000 0000000000001835   
0601GEA0N       20140101000995005000005000 0000000000001841   
0601GEA0N       20140101001000005000005000 0000000000001846   
0601GEA0N       20140101001005005000005000 0000000000001851   
0601GEA0N       20140101001010005000005000 0000000000001857   
0601GEA0N       20140101001015005000005000 0000000000001862   
0601GEA0N       20140101001020005000005000 0000000000001867   
0601GEA0N       20140101001025005000005000 0000000000001872   
0601GEA0N       20140101001030005000005000 0000000000001877   
0601GEA0N       20140101001035005000005000 0000000000001882   
0601GEA0N       20140101001040005000005000 0000000000001887   
0601GEA0N       20140101001045005000005000 0000000000001892   
0601GEA0N       20140101001050005000005000 0000000000001897   
0601GEA0N       20140101001055005000005000 0000000000001902   
0601GEA0N       20140101001060005000005000 0000000000001907   
0601GEA0N       20140101001065005000005000 0000000000001912   
0601GEA0N       20140101001070005000005000 0000000000001917   
0601GEA0N       20140101001075005000005000 0000000000001922   
0601GEA0N       20140101001080005000005000 0000000000001926   
0601GEA0N       20140101001085005000005000 0000000000001932   
0601GEA0N       20140101001090005000005000 0000000000001938   
0601GEA0N       20140101001095005000005000 0000000000001943   
0601GEA0N       20140101001100005000005000 0000000000001949   
0601GEA0N       20140101001105005000005000 0000000000001954   
0601GEA0N       20140101001110005000005000 0000000000001960   
0601GEA0N       20140101001115005000005000 0000000000001965   
0601GEA0N       20140101001120005000005000 0000000000001971   
0601GEA0N       20140101001125005000005000 0000000000001976   
0601GEA0N       20140101001130005000005000 0000000000001981   
0601GEA0N       20140101001135005000005000 0000000000001987   
0601GEA0N       20140101001140005000005000 0000000000001992   
0601GEA0N       20140101001145005000005000 0000000000001997   
0601GEA0N       20140101001150005000005000 0000000000002002   
0601GEA0N       20140101001155005000005000 0000000000002007   
0601GEA0N       20140101001160005000005000 0000000000002012   
0601GEA0N       20140101001165005000005000 0000000000002018   
0601GEA0N       20140101001170005000005000 0000000000002022   
0601GEA0N       20140101001175005000005000 0000000000002027   
0601GEA0N       20140101001180005000005000 0000000000002033   
