6500,Bellinzona
6501,Bellinzona
6503,Bellinzona
6500,Bellinzona 1
6500,Bellinzona 2
6500,Bellinzona 5
6506,Bellinzona 6 Autopostale TI
6500,Bellinzona Caserma
6500,Bellinzona centro servici
6500,Bellinzona Distribuzione
6500,Bellinzona Stazione FFS
6500,Bellinzona VZ
2564,Bellmund
3997,Bellwald
1092,Belmont-sur-Lausanne
1432,Belmont-sur-Yverdon
3123,Belp
3123,Belp Zustellung
3124,Belpberg
2744,Belprahon
8121,Benglen
8717,Benken SG
8463,Benken ZH
8836,Bennau
4431,Bennwil
5636,Benzenschwil
1038,Bercher
8471,Berg (Dägerlen)
8415,Berg am Irchel
9305,Berg SG
8572,Berg TG
8962,Bergdietikon
7482,Bergün/Bravuogn
8965,Berikon
8965,Berikon 1
8965,Berikon 1 Zustellung
8965,Berikon 2 Dorf
8222,Beringen
3376,Berken
1680,Berlens
8267,Berlingen
3000,Bern
3001,Bern
3003,Bern
3004,Bern
3005,Bern
3006,Bern
3007,Bern
3008,Bern
3010,Bern
3011,Bern
3012,Bern
3013,Bern
3014,Bern
3015,Bern
3018,Bern
3019,Bern
3020,Bern
3024,Bern
3027,Bern
3030,Bern
3040,Bern
3000,Bern 1 Zustellung
3000,Bern 13
3000,Bern 14
3000,Bern 15
3018,Bern 18 Zustellung
3000,Bern 21
3000,Bern 22
3000,Bern 22 Kaserne
3000,Bern 23
3000,Bern 25
3027,Bern 27 Zustellung
3000,Bern 28
3003,Bern 3 Nationalrat
3003,Bern 3 Ständerat
3000,Bern 31
3000,Bern 5
3000,Bern 6
3000,Bern 60 UPD
3000,Bern 65 SBB
3000,Bern 7 Bärenplatz
3000,Bern 71 CS PZ
3000,Bern 77 SBV
3000,Bern 8
3000,Bern 9
3000,Bern 90
3000,Bern 94 UBS
3050,Bern DocumentServices
3029,Bern Entris
3030,Bern Feldpostdirektion
3030,Bern Logistikcenter
3039,Bern PF Operations Center
3000,Bern Postauto BE-FB-SO
3002,Bern PostFinance
3000,Bern Radio Schweiz
3050,Bern Swisscom
3041,Bern UBS
3017,Bern Zustellung
9442,Berneck
9442,Berneck Dist Ba
1233,Bernex
1233,Bernex Distribution
9304,Bernhardzell
1149,Berolle
6215,Beromünster
8892,Berschis
8543,Bertschikon
8614,Bertschikon (Gossau ZH)
6661,Berzona
6863,Besazio
5627,Besenbüren
1609,Besencens
8777,Betschwanden
3991,Betten
3366,Bettenhausen
1042,Bettens
4126,Bettingen
2544,Bettlach
3992,Bettmeralp
9553,Bettwiesen
5618,Bettwil
2935,Beurnevésin
1996,Beuson (Nendaz)
2022,Bevaix
7502,Bever
2735,Bévilard
1880,Bex
1880,Bex Dist Fil
1880,Bex Distribution
6710,Biasca
6710,Biasca Borgo
6710,Biasca Stazione
4562,Biberist
8242,Bibern SH
8242,Bibern SH Zustellung
4578,Bibern SO
5023,Biberstein
8363,Bichelsee
8362,Bichelsee-Balterswil
9248,Bichwil
6958,Bidogno
3989,Biel VS
2500,Biel/Bienne
2501,Biel/Bienne
2502,Biel/Bienne
2503,Biel/Bienne
2504,Biel/Bienne
2505,Biel/Bienne
2500,Biel/Bienne 1
2500,Biel/Bienne 1 Zustellung
2500,Biel/Bienne 10
2500,Biel/Bienne 3
2500,Biel/Bienne 4
2500,Biel/Bienne 6
2500,Biel/Bienne 7
2500,Biel/Bienne 8
2510,Biel/Bienne Dist Ba
4105,Biel-Benken BL
3419,Biembach im Emmental
1145,Bière
1145,Bière Caserne
1996,Bieudron (Nendaz)
4585,Biezwil
3513,Bigenthal
3507,Biglen
6676,Bignasco
6954,Bigorio
1681,Billens
8865,Bilten
3996,Binn
4102,Binningen
4102,Binningen 1
4102,Binningen 1 Zustellung
4102,Binningen 2
8122,Binz
6934,Bioggio
6981,Biogno-Beride
1996,Bioley-de-Brignon (Nendaz)
1407,Bioley-Magnoux
1042,Bioley-Orjulaz
1670,Bionnens
3903,Birgisch
8903,Birmensdorf ZH
8903,Birmensdorf ZH Kaserne
8903,Birmensdorf ZH Zustellung
5413,Birmenstorf AG
6804,Bironico
5242,Birr
5244,Birrhard
5242,Birr-Lupfig
5242,Birr-Lupfig Zustellung
5708,Birrwil
4127,Birsfelden
4127,Birsfelden Zustellung
8585,Birwinken
9220,Bischofszell
